,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
109,2022-04-21T00:00:00.0000000Z,2022-04-22T00:00:00.0000000Z,2022-04-21T00:00:02.3880000Z,2022-04-21T23:59:52.5760000Z,0.074385,0.074441,0.07331,0.073706,91855.3752,142235
110,2022-04-22T00:00:00.0000000Z,2022-04-23T00:00:00.0000000Z,2022-04-22T00:00:08.1880000Z,2022-04-22T23:59:56.1290000Z,0.073707,0.075194,0.073662,0.0746,74168.89199999999,136935
111,2022-04-23T00:00:00.0000000Z,2022-04-24T00:00:00.0000000Z,2022-04-23T00:00:01.1150000Z,2022-04-23T23:59:55.8680000Z,0.074601,0.074921,0.074109,0.074356,37047.494999999995,80583
112,2022-04-24T00:00:00.0000000Z,2022-04-25T00:00:00.0000000Z,2022-04-24T00:00:00.4390000Z,2022-04-24T23:59:57.9490000Z,0.074355,0.074823,0.073942,0.074044,40312.6259,86982
113,2022-04-25T00:00:00.0000000Z,2022-04-26T00:00:00.0000000Z,2022-04-25T00:00:00.5060000Z,2022-04-25T23:59:59.7250000Z,0.074044,0.075032,0.072845,0.074369,105668.6493,187568
114,2022-04-26T00:00:00.0000000Z,2022-04-27T00:00:00.0000000Z,2022-04-26T00:00:00.1270000Z,2022-04-26T23:59:58.6100000Z,0.074369,0.074919,0.073263,0.073716,86726.67599999999,165608
115,2022-04-27T00:00:00.0000000Z,2022-04-28T00:00:00.0000000Z,2022-04-27T00:00:01.4980000Z,2022-04-27T23:59:58.5390000Z,0.073717,0.074475,0.07324,0.073638,69651.0492,142618
116,2022-04-28T00:00:00.0000000Z,2022-04-29T00:00:00.0000000Z,2022-04-28T00:00:01.0090000Z,2022-04-28T23:59:54.6610000Z,0.073637,0.074225,0.073036,0.073899,78396.63110000001,153349
117,2022-04-29T00:00:00.0000000Z,2022-04-30T00:00:00.0000000Z,2022-04-29T00:00:01.1280000Z,2022-04-29T23:59:59.5780000Z,0.073899,0.074115,0.072646,0.07299,86014.93460000001,140029
118,2022-04-30T00:00:00.0000000Z,2022-05-01T00:00:00.0000000Z,2022-04-30T00:00:00.2590000Z,2022-04-30T23:59:55.8780000Z,0.07299,0.073472,0.072228,0.072461,57654.25200000001,104967
119,2022-05-01T00:00:00.0000000Z,2022-05-02T00:00:00.0000000Z,2022-05-01T00:00:03.9230000Z,2022-05-01T23:59:59.7460000Z,0.072462,0.073736,0.072399,0.073442,69865.2593,115813
120,2022-05-02T00:00:00.0000000Z,2022-05-03T00:00:00.0000000Z,2022-05-02T00:00:00.9380000Z,2022-05-02T23:59:59.8900000Z,0.07344,0.074346,0.072303,0.074146,93137.14980000001,151954
121,2022-05-03T00:00:00.0000000Z,2022-05-04T00:00:00.0000000Z,2022-05-03T00:00:01.7350000Z,2022-05-03T23:59:58.8980000Z,0.07415,0.074217,0.073392,0.073723,69770.28980000001,113481
122,2022-05-04T00:00:00.0000000Z,2022-05-05T00:00:00.0000000Z,2022-05-04T00:00:06.7410000Z,2022-05-04T23:59:54.6830000Z,0.073722,0.074333,0.072731,0.074093,93507.20099999997,154099
123,2022-05-05T00:00:00.0000000Z,2022-05-06T00:00:00.0000000Z,2022-05-05T00:00:02.3890000Z,2022-05-05T23:59:58.7740000Z,0.074094,0.075712,0.073799,0.075174,112991.01499999998,175774
124,2022-05-06T00:00:00.0000000Z,2022-05-07T00:00:00.0000000Z,2022-05-06T00:00:02.2880000Z,2022-05-06T23:59:59.3830000Z,0.075174,0.07552,0.074048,0.074771,95712.64399999999,141367
125,2022-05-07T00:00:00.0000000Z,2022-05-08T00:00:00.0000000Z,2022-05-07T00:00:00.1170000Z,2022-05-07T23:59:59.4560000Z,0.074771,0.0754,0.074124,0.074288,76559.6433,122537
