time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,trend_date,bitcoin,ethereum,xrp,bitcoin_crash,bitcoin_trust
4/27/2022 0:01,4/28/2022 0:01,4/27/2022 0:01,4/27/2022 23:59,0.073717,0.074,0.073,0.074,69651.049,142618,4/27/2022,26,27,35,6,0
4/28/2022 0:01,4/29/2022 0:01,4/28/2022 0:01,4/28/2022 23:59,0.073637,0.074,0.073,0.074,78396.631,153349,4/28/2022,24,25,34,0,0
4/29/2022 0:01,4/30/2022 0:01,4/29/2022 0:01,4/29/2022 23:59,0.073899,0.074,0.073,0.073,86014.935,140029,4/29/2022,24,23,33,5,38
4/30/2022 0:01,5/1/2022 0:01,4/30/2022 0:01,4/30/2022 23:59,0.07299,0.073,0.072,0.072,57654.252,104967,4/30/2022,23,21,33,0,33
5/1/2022 0:01,5/2/2022 0:01,5/1/2022 0:01,5/1/2022 23:59,0.072462,0.074,0.072,0.073,69865.259,115813,5/1/2022,22,23,34,6,0
5/2/2022 0:01,5/3/2022 0:01,5/2/2022 0:01,5/2/2022 23:59,0.07344,0.074,0.072,0.074,93137.15,151954,5/2/2022,22,26,31,9,34
5/3/2022 0:01,5/4/2022 0:01,5/3/2022 0:01,5/3/2022 23:59,0.07415,0.074,0.073,0.074,69770.29,113481,5/3/2022,23,25,32,0,30
5/4/2022 0:01,5/5/2022 0:01,5/4/2022 0:01,5/4/2022 23:59,0.073722,0.074,0.073,0.074,93507.201,154099,5/4/2022,21,22,31,0,39
5/5/2022 0:01,5/6/2022 0:01,5/5/2022 0:01,5/5/2022 23:59,0.074094,0.076,0.074,0.075,112991.015,175774,5/5/2022,22,22,33,5,35
5/6/2022 0:01,5/7/2022 0:01,5/6/2022 0:01,5/6/2022 23:59,0.075174,0.076,0.074,0.075,95712.644,141367,5/6/2022,28,26,31,9,70
5/7/2022 0:01,5/8/2022 0:01,5/7/2022 0:01,5/7/2022 23:59,0.074771,0.075,0.074,0.074,76559.643,122537,5/7/2022,28,26,28,8,0
5/8/2022 0:01,5/9/2022 0:01,5/8/2022 0:01,5/8/2022 23:59,0.074289,0.075,0.073,0.074,139747.278,185688,5/8/2022,23,21,32,6,0
5/9/2022 0:01,5/10/2022 0:01,5/9/2022 0:01,5/9/2022 23:59,0.074017,0.074,0.072,0.074,233837.592,338867,5/9/2022,27,26,41,11,0
5/10/2022 0:01,5/11/2022 0:01,5/10/2022 0:01,5/10/2022 23:59,0.074105,0.076,0.074,0.076,225197.221,381813,5/10/2022,53,42,43,35,53
5/11/2022 0:01,5/12/2022 0:01,5/11/2022 0:01,5/11/2022 23:59,0.075502,0.077,0.072,0.072,267848.173,568518,5/11/2022,53,38,58,24,66
5/12/2022 0:01,5/13/2022 0:01,5/12/2022 0:01,5/12/2022 23:59,0.071657,0.073,0.066,0.068,303240.194,583820,5/12/2022,62,44,67,52,57
5/13/2022 0:01,5/14/2022 0:01,5/13/2022 0:01,5/13/2022 23:59,0.067523,0.07,0.067,0.069,174996.975,259886,5/13/2022,95,70,57,100,52
5/14/2022 0:01,5/15/2022 0:01,5/14/2022 0:01,5/14/2022 23:59,0.068625,0.07,0.068,0.068,92404.763,134423,5/14/2022,70,47,44,73,41
5/15/2022 0:01,5/16/2022 0:01,5/15/2022 0:01,5/15/2022 23:59,0.068351,0.069,0.068,0.068,97017.915,131457,5/15/2022,49,37,35,49,48
5/16/2022 0:01,5/17/2022 0:01,5/16/2022 0:01,5/16/2022 23:59,0.068482,0.069,0.067,0.068,154826.825,192161,5/16/2022,40,29,34,44,54
5/17/2022 0:01,5/18/2022 0:01,5/17/2022 0:01,5/17/2022 23:59,0.067742,0.069,0.068,0.069,119668.32,148847,5/17/2022,43,33,38,42,45
5/18/2022 0:01,5/19/2022 0:01,5/18/2022 0:01,5/18/2022 23:59,0.068671,0.069,0.067,0.067,181176.428,205512,5/18/2022,37,30,38,23,0
5/19/2022 0:01,5/20/2022 0:01,5/19/2022 0:01,5/19/2022 23:59,0.066688,0.067,0.066,0.067,230258.874,242278,5/19/2022,40,31,38,20,0
5/20/2022 0:01,5/21/2022 0:01,5/20/2022 0:01,5/20/2022 23:59,0.06661,0.068,0.066,0.067,170444.164,199392,5/20/2022,40,28,33,25,37
5/21/2022 0:01,5/22/2022 0:01,5/21/2022 0:01,5/21/2022 23:59,0.067094,0.067,0.067,0.067,57333.72,79015,5/21/2022,34,27,32,22,0
5/22/2022 0:01,5/23/2022 0:01,5/22/2022 0:01,5/22/2022 23:59,0.067078,0.068,0.067,0.067,111259.665,142578,5/22/2022,31,24,28,8,0
5/23/2022 0:01,5/24/2022 0:01,5/23/2022 0:01,5/23/2022 23:59,0.067444,0.068,0.067,0.068,187182.066,228193,5/23/2022,27,21,31,9,0
5/24/2022 0:01,5/25/2022 0:01,5/24/2022 0:01,5/24/2022 23:59,0.06779,0.068,0.066,0.067,50698.086,66419,5/24/2022,33,24,32,12,0
5/25/2022 0:01,5/26/2022 0:01,5/25/2022 0:01,5/25/2022 23:59,0.066735,0.067,0.066,0.066,85263.425,105098,5/25/2022,33,25,32,16,0
5/26/2022 0:01,5/27/2022 0:01,5/26/2022 0:01,5/26/2022 23:59,0.06576,0.066,0.061,0.061,198910.946,259495,5/26/2022,29,23,31,6,0
5/27/2022 0:01,5/28/2022 0:01,5/27/2022 0:01,5/27/2022 23:59,0.061373,0.062,0.06,0.06,246186.557,297971,5/27/2022,29,29,32,0,36
5/28/2022 0:01,5/29/2022 0:01,5/28/2022 0:01,5/28/2022 23:59,0.060334,0.062,0.06,0.062,146078.353,139847,5/28/2022,29,35,28,7,42
5/29/2022 0:01,5/30/2022 0:01,5/29/2022 0:01,5/29/2022 23:59,0.061732,0.062,0.061,0.062,90796.498,96854,5/29/2022,26,23,24,6,0
5/30/2022 0:01,5/31/2022 0:01,5/30/2022 0:01,5/30/2022 23:59,0.061541,0.063,0.061,0.063,149815.454,178438,5/30/2022,21,22,31,0,0
5/31/2022 0:01,6/1/2022 0:01,5/31/2022 0:01,5/31/2022 23:59,0.062991,0.063,0.061,0.061,157633.893,215453,5/31/2022,27,26,39,0,0
6/1/2022 0:01,6/2/2022 0:01,6/1/2022 0:01,6/1/2022 23:59,0.061062,0.062,0.06,0.061,251980.706,281678,6/1/2022,29,25,30,0,37
6/2/2022 0:01,6/3/2022 0:01,6/2/2022 0:01,6/2/2022 23:59,0.060994,0.061,0.06,0.06,215547.012,250585,6/2/2022,28,24,29,6,42
6/3/2022 0:01,6/4/2022 0:01,6/3/2022 0:01,6/3/2022 23:59,0.060228,0.06,0.059,0.06,209728.24,238790,6/3/2022,27,22,28,0,0
6/4/2022 0:01,6/5/2022 0:01,6/4/2022 0:01,6/4/2022 23:59,0.059766,0.061,0.059,0.06,106707.346,132224,6/4/2022,26,22,27,0,0
6/5/2022 0:01,6/6/2022 0:01,6/5/2022 0:01,6/5/2022 23:59,0.060421,0.061,0.06,0.06,111911.15,137349,6/5/2022,21,20,27,0,0
